id,subject,student_id,grade_level,teacher_id,instructional_minutes,assessment_year,assessment_score
10161,math,2876,9,93,130,2015,53.66
7493,math,2127,9,8,110,2015,86.43
9404,language,2664,10,77,90,2015,64.46
2406,language,681,9,66,110,2015,85.17
2376,language,673,11,97,110,2015,66.05
9144,language,2589,11,66,130,2015,65.79
2430,language,687,12,68,110,2016,99.84
8214,language,2329,12,65,110,2016,62.75
6966,language,1975,9,98,170,2015,59.95
4260,language,1204,10,106,110,2016,97.73
3080,language,869,9,59,90,2015,73.87
375,math,108,9,40,110,2016,72.9
2744,language,777,9,67,130,2016,0.0
7861,math,2229,10,25,130,2016,90.64
3481,math,985,11,19,170,2016,99.14
8364,language,2372,10,71,110,2016,86.07
193,math,58,9,42,110,2015,51.32
9522,language,2699,11,57,130,2015,66.9
8211,math,2329,11,102,130,2015,95.7
4487,math,1266,9,16,130,2015,84.02
7738,language,2194,11,85,90,2015,35.62
7154,language,2030,9,109,90,2015,67.17
6173,math,1754,12,110,90,2016,70.9
9279,math,2628,11,36,130,2015,33.38
6543,math,1856,10,15,150,2016,90.6
110,language,34,11,55,170,2015,51.36
3593,math,1018,11,1,110,2016,68.66
6850,language,1942,12,59,150,2016,97.09
4075,math,1153,11,105,170,2016,88.22
2776,language,787,9,78,110,2015,66.19
6290,language,1786,9,61,130,2015,56.95
8809,math,2496,10,24,170,2016,45.57
7378,language,2093,10,75,170,2015,100.0
4506,language,1271,11,55,90,2015,78.87
10400,language,2943,11,74,150,2015,95.49
9482,language,2687,12,66,170,2016,98.47
213,math,64,11,3,170,2016,73.64
1246,language,354,11,109,90,2015,58.86
6146,language,1746,10,55,90,2016,63.6
4146,language,1173,11,53,170,2015,77.16
3041,math,859,10,29,130,2015,54.24
9787,math,2774,9,27,90,2015,32.2
6077,math,1726,9,102,130,2015,68.8
9412,language,2666,9,69,170,2016,98.05
9196,language,2603,11,52,130,2016,15.94
1133,math,323,9,33,130,2015,43.43
2055,math,584,12,35,130,2016,38.92
9651,math,2737,9,39,130,2015,73.74
3938,language,1115,10,58,170,2015,48.63
3901,math,1105,11,14,110,2015,62.36
7335,math,2081,10,3,110,2016,66.17
6699,math,1898,12,97,90,2016,55.6
2570,language,728,10,58,110,2015,52.39
8246,language,2339,9,51,90,2016,64.19
1721,math,489,9,18,90,2016,78.33
9193,math,2603,10,23,150,2015,50.08
9244,language,2618,10,100,130,2015,98.3
8869,math,2514,11,26,130,2015,96.49
8925,math,2529,10,94,90,2016,73.49
3466,language,980,10,51,170,2015,77.69
3669,math,1039,10,17,150,2016,0.0
608,language,176,10,74,170,2016,100.0
2488,language,703,9,70,150,2016,45.49
901,math,257,10,16,110,2015,84.32
10502,language,2973,9,70,130,2016,59.76
3815,math,1082,10,40,110,2016,98.36
2208,language,626,12,56,110,2016,61.34
7197,math,2042,10,14,110,2016,66.94
596,language,173,10,98,110,2016,70.08
10109,math,2861,11,5,90,2015,96.32
104,language,32,11,103,150,2015,69.89
7117,math,2019,9,29,170,2015,86.23
8774,language,2486,10,62,150,2015,63.13
6822,language,1934,9,92,150,2016,99.65
3485,math,986,12,15,150,2016,97.03
2382,language,674,10,53,90,2016,35.37
158,language,48,11,88,170,2015,0.0
8087,math,2293,9,15,130,2016,45.5
8301,math,2356,11,40,150,2016,98.36
2785,math,789,11,1,110,2016,99.51
5000,language,1412,12,104,90,2016,92.72
1921,math,546,9,98,110,2016,49.91
6755,math,1915,12,94,150,2016,90.8
7966,language,2259,12,83,90,2016,54.5
10278,language,2908,11,107,150,2015,6.6
1373,math,391,9,13,110,2016,53.9
7513,math,2132,10,44,90,2015,46.05
7395,math,2098,11,49,170,2016,85.71
1596,language,453,9,76,150,2016,36.64
6001,math,1702,12,20,130,2016,81.07
121,math,37,11,35,150,2015,96.89
4,language,2,9,90,110,2016,68.09
3652,language,1034,9,81,110,2015,46.09
7177,math,2036,11,28,90,2016,74.46
1742,language,495,9,58,150,2016,90.05
13,math,5,10,39,90,2016,81.65
4367,math,1234,12,50,110,2016,44.81
4113,math,1164,10,33,130,2016,73.53
5461,math,1545,11,96,90,2015,65.32
955,math,272,9,99,150,2015,94.81
4169,math,1180,11,23,130,2016,78.53
2470,language,698,10,71,150,2016,84.41
10309,math,2916,11,105,130,2015,43.87
4848,language,1371,12,71,130,2016,77.53
2955,math,835,12,26,130,2016,78.96
5861,math,1659,10,23,150,2015,69.07
5171,math,1460,11,32,170,2015,39.97
10383,math,2938,9,27,130,2015,77.75
1826,language,519,9,108,170,2016,26.6
603,math,175,12,30,170,2016,94.31
6785,math,1923,11,45,150,2016,82.88
5414,language,1530,11,76,130,2015,72.26
2064,language,586,12,70,150,2016,56.6
9964,language,2822,10,51,90,2016,44.97
8152,language,2312,12,77,90,2016,38.87
8531,math,2419,11,108,150,2016,81.52
1288,language,365,11,107,130,2016,31.83
9981,math,2827,9,3,110,2015,79.99
8709,math,2468,12,5,130,2016,84.78
1121,math,319,10,43,130,2016,97.14
4715,math,1334,12,2,170,2016,42.61
8224,language,2332,11,66,150,2015,95.01
3574,language,1011,12,78,90,2016,73.66
1866,language,530,10,76,130,2016,40.04
559,math,162,11,27,170,2015,76.59
3263,math,923,10,9,130,2015,86.74
7183,math,2038,9,25,150,2016,98.25
7256,language,2060,11,65,90,2015,73.31
8074,language,2289,9,84,130,2016,36.6
2207,math,626,12,110,170,2016,90.19
3210,language,905,11,86,170,2016,86.57
2507,math,709,11,105,130,2016,97.67
9032,language,2558,10,111,110,2016,85.6
2501,math,708,11,35,170,2015,99.58
3424,language,967,10,61,110,2016,60.45
8918,language,2527,12,87,150,2016,100.0
1193,math,339,11,44,150,2016,21.03
1925,math,547,10,46,130,2016,26.89
93,math,29,11,20,110,2016,96.44
2535,math,718,9,48,170,2016,64.91
1369,math,390,11,30,150,2015,82.64
2810,language,796,11,67,130,2016,87.86
10143,math,2870,10,23,90,2016,40.14
751,math,216,12,108,150,2016,76.97
7531,math,2136,10,18,130,2016,83.05
2845,math,805,12,45,90,2016,39.24
870,language,248,11,56,90,2016,65.75
9209,math,2608,10,16,110,2015,45.51
1589,math,451,10,108,110,2016,49.67
2464,language,697,11,62,170,2015,45.11
8700,language,2465,10,69,170,2015,100.0
10268,language,2905,12,88,110,2016,0.0
6097,math,1732,9,48,90,2016,97.48
569,math,164,12,43,170,2016,86.09
10304,language,2914,12,83,170,2016,75.34
6144,language,1746,9,63,90,2015,68.11
3103,math,875,9,28,90,2016,22.2
2788,language,790,10,55,170,2015,66.96
10296,language,2912,11,63,170,2016,65.07
7646,language,2167,10,82,90,2015,44.25
7978,language,2262,12,75,130,2016,53.43
7428,language,2108,10,89,150,2016,77.68
3295,math,931,11,94,110,2016,45.19
3935,math,1114,10,6,150,2016,75.43
7819,math,2219,10,45,110,2015,62.96
1385,math,395,10,30,170,2015,95.56
3215,math,907,11,24,90,2016,95.37
5243,math,1479,11,19,90,2016,82.0
3036,language,857,9,54,170,2016,83.95
2894,language,819,10,85,150,2015,67.66
7475,math,2122,10,6,170,2015,50.08
7474,language,2121,12,102,170,2016,96.34
9131,math,2586,10,16,150,2015,79.97
7105,math,2015,9,41,130,2015,70.09
8093,math,2295,9,31,110,2016,89.41
5612,language,1589,10,71,150,2015,98.28
6299,math,1789,11,103,90,2015,53.85
1792,language,509,9,112,170,2016,90.73
865,math,247,12,32,110,2016,55.85
1056,language,301,11,76,130,2015,41.88
7447,math,2114,9,4,130,2015,86.9
8174,language,2318,12,70,90,2016,96.93
2536,language,718,9,78,110,2016,94.46
3831,math,1086,11,15,150,2016,100.0
5999,math,1702,11,34,110,2015,82.62
9783,math,2772,10,50,90,2016,62.49
7021,math,1990,12,40,170,2016,79.65
6210,language,1764,10,83,170,2016,82.0
7352,language,2085,11,77,90,2016,39.3
6525,math,1852,10,15,130,2015,85.33
8446,language,2393,11,73,130,2016,76.75
7807,math,2215,9,36,170,2016,87.14
7652,language,2168,10,87,90,2016,52.66
391,math,114,11,97,110,2015,75.58
9909,math,2809,11,110,170,2015,75.37
5847,math,1655,9,45,130,2016,59.79
3959,math,1120,12,15,130,2016,95.78
9275,math,2627,11,44,90,2015,62.53
10415,math,2947,10,27,110,2016,80.09
3251,math,920,10,28,110,2015,37.02
10587,math,3000,9,40,130,2015,56.12
1430,language,408,9,58,170,2016,74.84
4598,language,1300,11,73,170,2015,92.35
4933,math,1394,10,33,110,2016,61.16
